1,0,20,#,R
1,1,21,#,R
1, ,0, ,R
20,0,20,0,R
20,1,20,1,R
20, ,40, ,L
21,0,21,0,R
21,1,21,1,R
21, ,41, ,L
40,1,501,#,L
40,0,500,#,L
40,#,0,0,L
41,1,511,#,L
41,0,510,#,L
41,#,0,1,L
501,1,501,1,L
501,0,501,0,L
501,#,60,1,R
500,1,500,1,L
500,0,500,0,L
500,#,60,0,R
60,0,700,#,R
60,1,701,#,R
60,#,0,0,R
700,0,700,0,R
700,1,700,1,R
700,#,80,0,L
701,0,701,0,R
701,1,701,1,R
701,#,81,0,L
80,0,500,#,L
80,1,501,#,L
80,#,0,0,L
81,0,510,#,L
81,1,511,#,L
81,#,0,1,L
511,1,511,1,L
511,0,511,0,L
511,#,61,1,R
510,1,510,1,L
510,0,510,0,L
510,#,61,0,R
61,0,710,#,R
61,1,711,#,R
61,#,0,1,R
710,0,710,0,R
710,1,710,1,R
710,#,80,1,L
711,0,711,0,R
711,1,711,1,R
711,#,81,1,L
